网页标题和屏幕名称,查看次数,用户数,新用户数,每位用户的浏览量,平均互动时长,唯一身份用户滚动次数,事件数,转化次数,总收益
Soulmeta & Encentive $1500 NFT + kupon Blind box Airdrop,1,38,0,0.02631578947368420,36.05263157894740,32,104,0,0
TELEPORT HIT 20K 赠品,1,12,0,0.08333333333333330,44.083333333333300,6,20,0,0
ZEBRAXVERAミステリーボックスプレゼント,1,9,0,0.1111111111111110,26,9,24,0,0
iGain x Yearn x Fantom - Collect the 3 DeFi Runes!,1,1,0,1,20,1,4,0,0
Бонусная программа Apecoinflip,1,12,0,0.08333333333333330,41.166666666666700,6,16,0,0
Раздача Proud Kitty Gang $MINT,1,26,0,0.038461538461538500,32.15384615384620,18,50,0,0
جينكي تويتر الفضاء X على محفظة X سيل التمويل,1,1,1,1,29,0,4,0,0
هدایای Proud Kitty Gang $MINT,1,11,0,0.09090909090909090,25.454545454545500,8,26,0,0
プロジェクトギャラクシー＆RhizomeDAOAMAプレゼント,1,15,0,0.06666666666666670,35.46666666666670,11,32,0,0
元气TWITTER空间X ACS X骄傲凯蒂冈,1,1,0,1,0,0,2,0,0
元气TWITTER空间X自由X VERA,1,2,0,0.5,2,2,3,0,0
ACS 运动,0,2,0,0,5,2,3,0,0
ACSキャンペーン,0,1,0,0,36,1,2,0,0
ACS活动,0,1,0,0,0,1,1,0,0
AirNFT x BabyWealthyClub 20 NFT白名单赠品,0,1,0,0,42,0,1,0,0
AirNFTs x BabyWealthyClub 20 NFT 白名单赠品,0,1,0,0,5,1,2,0,0
ApeSwap Nhiệm vụ giới thiệu,0,1,0,0,24,1,2,0,0
ApeSwap 介绍性任务,0,3,0,0,15,2,4,0,0
ApeSwap入門クエスト,0,1,0,0,14,1,1,0,0
Apecoinflip 赏金计划,0,2,0,0,37.5,0,2,0,0
AuthFailure.SecretIdNotFound,0,1,0,0,0,1,1,0,0
BABYSWAP X GENKI AMA KAMPANYASI,0,5,0,0,3.8,3,5,0,0
BABYSWAP X GENKI AMA 活動,0,2,0,0,27.5,0,2,0,0
Bangga Kitty Geng $MINT giveaway,0,1,0,0,9,1,1,0,0
BetFury x Biswap Izaicinājums!,0,1,0,0,65,1,5,0,0
BetFury x Biswap Mücadelesi!,0,11,0,0,53,9,18,0,0
BetFury x Biswap izaicinājums!,0,2,0,0,39.5,2,2,0,0
BetFury x Biswap Çağırışı!,0,1,0,0,41,1,3,0,0
BetFury x Biswap අභියෝගය!,0,1,0,0,3,1,1,0,0
BetFury x Biswap 挑战！,0,6,0,0,26,5,12,0,0
BetFury x Biswap 挑戰！,0,3,0,0,22,3,3,0,0
BetFury x Biswap 챌린지!,0,2,0,0,11.5,2,3,0,0
BetFury x Biswap-Herausforderung!,0,1,0,0,36,0,1,0,0
BetFury x Biswapチャレンジ！,0,5,0,0,19,4,6,0,0
BetFury x Wyzwanie Biswap!,0,8,0,0,26.75,6,14,0,0
BetFury x бросает вызов Biswap!,0,2,0,0,6.5,2,3,0,0
CAMPAGNE BABYSWAP X GENKI AMA,0,1,0,0,17,1,2,0,0
CAMPANHA BABYSWAP X GENKI AMA,0,2,0,0,6,2,3,0,0
CAMPAÑA BABYSWAP X GENKI AMA,0,2,0,0,17.5,2,2,0,0
CHIẾN DỊCH BABYSWAP X GENKI AMA,0,3,0,0,24,2,4,0,0
COINBRAIN THƯƠNG MẠI & CHIẾN DỊCH CHIẾN DỊCH,0,1,0,0,3,1,1,0,0
COINBRAIN ТОРГОВЛЯ И ВЫИГРЫШНАЯ КАМПАНИЯ,0,1,0,0,4,0,1,0,0
COINBRAIN 交易和获胜活动,0,1,0,0,20,0,1,0,0
Chương trình Airdrop WOWmax,0,1,0,0,39,1,1,0,0
Concours Ugliens NFT,0,1,0,0,38,1,1,0,0
Concours de baskets Walk'N NFT,0,1,0,0,10,1,1,0,0
Desafio BetFury x Biswap!,0,23,0,0,53.95652173913040,18,40,0,0
Desconto Rh!noX NFT e sorteio U,0,6,0,0,51.666666666666700,3,8,0,0
Diskon Rh!noX NFT & U Giveaway,0,1,0,0,34,1,1,0,0
Dumny Kitty Gang $ MINT w prezencie,0,1,0,0,1,0,1,0,0
Défi BetFury x Biswap !,0,1,0,0,2,1,1,0,0
Défi BetFury x Biswap !,0,2,0,0,86,2,3,0,0
ESPACIO DE TWITTER GENKI X AIRNFTS X APESWAP,0,2,0,0,40.5,2,3,0,0
ESPAÇO GENKI TWITTER X ACS X GANG DA GATINHA ORGULHOSA,0,2,0,0,9,1,3,0,0
ESPAÇO GENKI TWITTER X AIRNFTS X APESWAP,0,1,0,0,173,1,2,0,0
ESPAÇO GENKI TWITTER X NA CARTEIRA X SIL FINANCE,0,1,0,0,9,0,1,0,0
El Proyecto Galaxy & RhizomeDAO AMA de Regalo,0,1,0,0,51,0,1,0,0
GENKI ESPACIO DE TWITTER X WOWSWAP X BETAMARS,0,2,0,0,21.5,2,2,0,0
